Index,ROI,Hemisphere,Network,Abbreviation,xmm,ymm,zmm
1,S_Sup_Frontal-2,R,ParietoFrontal,f1_2,28.2,56.4,7.2
2,G_Frontal_Mid-1,R,ParietoFrontal,F2_1,41.3,44.3,13.4
3,G_Frontal_Mid-5,R,ParietoFrontal,F2_5,41.9,17.3,41.4
4,S_Inf_Frontal-1,R,ParietoFrontal,f2_1,46.4,39.6,9.9
5,S_Inf_Frontal-2,R,ParietoFrontal,f2_2,43.9,18.5,28.4
6,G_Frontal_Inf_Tri-1,R,TemporoFrontal,F3t,49.8,28.5,5
7,G_Frontal_Mid_Orb-1,R,ParietoFrontal,F2O1,36.5,56.7,-6.2
8,G_Frontal_Mid_Orb-2,R,ParietoFrontal,F2O2,39.7,50.2,-4.4
9,G_Frontal_Inf_Orb-1,R,TemporoFrontal,F3O1,44.2,33,-14.4
10,S_Orbital-1,R,ParietoFrontal,orb1,25.8,41.5,-14.9
11,S_Precentral-1,R,ParietoFrontal,prec1,50.2,9.6,24.2
12,S_Precentral-2,L,SomatoMotor,prec2,-25.2,-8.5,58.9
13,S_Precentral-3,L,SomatoMotor,prec3,-18.2,-8.7,69.3
14,S_Precentral-4,R,ParietoFrontal,prec4,43.7,1,48.4
15,S_Precentral-6,L,SomatoMotor,prec6,-29.8,-11.2,64.7
16,S_Rolando-1,L,SomatoMotor,rol1,-54.3,-8.4,32
17,S_Rolando-2,L,SomatoMotor,rol2,-43.6,-13.7,50.6
18,S_Rolando-3,L,SomatoMotor,rol3,-38.8,-23.1,61.4
19,S_Rolando-4,L,SomatoMotor,rol4,-23.1,-28.9,65.3
20,S_Postcentral-1,L,SomatoMotor,post1,-57.5,-17.8,31.8
21,S_Postcentral-2,L,SomatoMotor,post2,-40.8,-33.5,54.7
22,S_Postcentral-3,L,SomatoMotor,post3,-43,-32.8,44.1
23,G_Parietal_Sup-1,L,SomatoMotor,P1_1,-23.6,-47.3,60.1
24,G_Parietal_Sup-2,L,SomatoMotor,P1_2,-18.6,-46.9,67.5
25,G_Parietal_Sup-3,L,SomatoMotor,P1_3,-29.6,-51.2,66.6
26,G_Parietal_Sup-5,L,SomatoMotor,P1_5,-16,-61.3,61.5
27,G_Supramarginal-1,L,SomatoMotor,SMG1,-54.5,-29.5,21.4
28,G_SupraMarginal-6,R,ParietoFrontal,SMG6,53.8,-38.2,44
29,G_Parietal_Inf-1,R,ParietoFrontal,P2,42.7,-53.1,47.6
30,S_Intraparietal-2,R,ParietoFrontal,ips2,37.4,-52.4,48.4
31,S_Intraparietal-3,R,Posterior-medial,ips3,26.4,-61.7,46.3
32,S_Intraoccipital-1,R,Posterior-medial,ios,27.8,-69.4,33.3
33,G_Occipital_Lat-2,R,VISU,Olat2,28.1,-89.1,-2.1
34,G_Occipital_Lat-4,R,VISU,Olat4,33.6,-85.4,8.8
35,G_Occipital_Lat-5,R,VISU,Olat5,35.6,-75.6,1.6
36,G_Occipital_Mid-1,R,Posterior-medial,O2_1,36.2,-74.5,25.3
37,G_Occipital_Mid-2,R,VISU,O2_2,41.1,-72.9,12.2
38,G_Occipital_Mid-3,R,TemporoFrontal,O2_3,45.1,-63.1,15.1
39,G_Occipital_Mid-4,R,Posterior-medial,O2_4,40.9,-73.9,29.6
40,G_Occipital_Inf-2,R,VISU,O3_2,47.1,-64.7,-7.5
41,G_Insula-anterior-2,R,TemporoFrontal,INSa2,34.7,18.5,-12.7
42,G_Insula-anterior-3,R,TemporoFrontal,INSa3,36.8,24.2,-0.3
43,G_Insula-anterior-4,R,TemporoFrontal,INSa4,40.8,14.5,4.1
44,G_Insula-posterior-1,L,SomatoMotor,INSp1,-42.1,-19.1,13.7
45,G_Rolandic_Oper-2,L,SomatoMotor,ROLop2,-50.6,-9,13.9
46,G_Temporal_Sup-1,L,SomatoMotor,T1_1,-55.5,-1.1,2.3
47,G_Temporal_Sup-2,L,SomatoMotor,T1_2,-45.3,-10.9,-1.6
48,G_Temporal_Sup-3,L,SomatoMotor,T1_3,-52,-27.1,10.9
49,G_Temporal_Sup-4,L,TemporoFrontal,T1_4,-58.7,-23.3,3.7
50,S_Sup_Temporal-3,R,TemporoFrontal,STS3,53.1,-31.9,-0.3
51,S_Sup_Temporal-4,R,TemporoFrontal,STS4,54.6,-45.5,14.6
52,G_Temporal_Mid-3,R,TemporoFrontal,T2_3,62.3,-30.9,-4.7
53,G_Temporal_Mid-4,R,TemporoFrontal,T2_4,56.8,-53.2,3
54,G_Temporal_Inf-3,R,Posterior-medial,T3_3,57.4,-46.3,-13.9
55,G_Temporal_Inf-4,R,Posterior-medial,T3_4,54.1,-57.9,-10.5
56,G_Temporal_Inf-5,R,TemporoFrontal,T3_5,49.2,-58.3,3.8
57,G_Temporal_Pole_Mid-3,R,Posterior-medial,poleT2_3,26.4,6.5,-35.9
58,G_Frontal_Sup_Medial-3,R,ParietoFrontal,F1M3,5.5,33.2,44.9
59,G_Supp_Motor_Area-1,R,ParietoFrontal,SMA1,5.9,20.5,49
60,G_Supp_Motor_Area-2,R,TemporoFrontal,SMA2,10.5,18.5,62.9
61,G_Supp_Motor_Area-3,R,TemporoFrontal,SMA3,6.4,10.1,66.5
62,S_Cingulate-1,R,TemporoFrontal,cing1,7,26.6,31
63,S_Cingulate-2,R,TemporoFrontal,cing2,7.6,13.5,47.3
64,S_Cingulate-4,L,SomatoMotor,cing4,-7.8,-6.3,57.4
65,S_Cingulate-5,L,SomatoMotor,cing5,-8.5,-16.4,41.6
66,S_Cingulate-7,L,SomatoMotor,cing7,-9.3,-41.5,60.4
67,G_Cingulum_Ant-2,R,TemporoFrontal,CINGa2,7.3,33.4,22.8
68,G_Cingulum_Post-1,R,Posterior-medial,CINGp1,4.7,-25.9,29
69,G_Paracentral_Lobule-1,L,SomatoMotor,pCENT1,-6.9,-16.8,50.9
70,G_Paracentral_Lobule-2,L,SomatoMotor,pCENT2,-10.2,-28.6,65.8
71,G_Precuneus-1,R,Posterior-medial,PRECU1,12.8,-52.8,13.8
72,G_Precuneus-7,R,Posterior-medial,PRECU7,7.2,-62.6,36
73,G_Precuneus-8,R,Posterior-medial,PRECU8,10.5,-68.5,41.1
74,G_Precuneus-9,R,Posterior-medial,PRECU9,12.7,-68.4,50.3
75,S_Parietooccipital-1,R,Posterior-medial,pos1,13.1,-54.1,8.5
76,S_Parietooccipital-2,R,Posterior-medial,pos2,15.9,-61.4,26.2
77,S_Parietooccipital-3,R,Posterior-medial,pos3,14.1,-72.9,37.4
78,S_Parietooccipital-5,R,Posterior-medial,pos5,20.9,-65.6,20
79,G_Calcarine-2,R,VISU,CAL2,9.5,-77.8,9.4
80,G_Calcarine-3,R,VISU,CAL3,10.8,-94.2,1.1
81,G_Lingual-1,R,Posterior-medial,LING1,19.6,-43.9,-3.9
82,G_Lingual-2,R,VISU,LING2,21,-60.2,-6
83,G_Lingual-4,R,VISU,LING4,13,-72.4,-9.3
84,G_Lingual-6,R,VISU,LING6,6.7,-78.9,-3.4
85,G_Hippocampus-2,R,Posterior-medial,HIPP2,25,-31.4,-2
86,G_ParaHippocampal-2,R,Posterior-medial,pHIPP2,28.6,-24.7,-18.6
87,G_ParaHippocampal-4,R,Posterior-medial,pHIPP4,16.7,-27.4,-10
88,G_ParaHippocampal-5,R,Posterior-medial,pHIPP5,27.2,-36,-11.9
89,G_Fusiform-4,R,Posterior-medial,FUS4,44.1,-46,-17.7
90,G_Fusiform-5,R,Posterior-medial,FUS5,32.4,-46.7,-11.3
91,G_Fusiform-6,R,VISU,FUS6,29,-61.7,-9.5
92,G_Fusiform-7,R,VISU,FUS7,22.9,-80.5,-8.3
93,N_Pallidum-1,L,TemporoFrontal,PALL,-18.6,-8.2,-0.5
94,N_Putamen-3,L,TemporoFrontal,PUT3,-28,-6.3,1.8
95,N_Thalamus-1,L,TemporoFrontal,THA1,-4.3,0.3,1.4
