Network,Abbreviation,Region,Atlas_Homotopic,Hemisphere,Index,Xmm,Ymm,Zmm,Number of Voxels,Volume mm3,HEXA
ParietoFrontal,f1_2,superior frontal sulcus (2),Homotopic,Left,9,-27.22,55.62,1.36,783,6264,#fe4833
ParietoFrontal,f1_2,superior frontal sulcus (2),Atlas,Right,10,28.24,56.41,7.22,604,4832,#fe4833
ParietoFrontal,f2_1,inferior frontal sulcus (1),Homotopic,Left,29,-44.24,38.32,11.74,585,4680,#c9fe5f
ParietoFrontal,f2_1,inferior frontal sulcus (1),Atlas,Right,30,46.38,39.59,9.88,281,2248,#c9fe5f
ParietoFrontal,f2_2,inferior frontal sulcus (2),Homotopic,Left,31,-43.11,14.84,29.41,1116,8928,#c0d1ed
ParietoFrontal,f2_2,inferior frontal sulcus (2),Atlas,Right,32,43.94,18.51,28.38,1138,9104,#c0d1ed
ParietoFrontal,F1M3,Medial Superior Frontal Gyrus (3),Homotopic,Left,211,-5.33,34.67,43.62,332,2656,#c266e2
ParietoFrontal,F1M3,Medial Superior Frontal Gyrus (3),Atlas,Right,212,5.55,33.21,44.87,376,3008,#c266e2
ParietoFrontal,F2_1,Middle Frontal Gyrus (1),Homotopic,Left,19,-39.98,41.11,19.53,272,2176,#eaee7c
ParietoFrontal,F2_1,Middle Frontal Gyrus (1),Atlas,Right,20,41.31,44.34,13.44,516,4128,#eaee7c
ParietoFrontal,F2_5,Middle Frontal Gyrus (5),Homotopic,Left,27,-43.24,19.84,37.07,245,1960,#709d70
ParietoFrontal,F2_5,Middle Frontal Gyrus (5),Atlas,Right,28,41.86,17.31,41.44,527,4216,#709d70
ParietoFrontal,F2O1,Middle Orbito-Frontal Gyrus (1),Homotopic,Left,37,-35.01,56.82,-7.71,105,840,#d9d192
ParietoFrontal,F2O1,Middle Orbito-Frontal Gyrus (1),Atlas,Right,38,36.48,56.7,-6.21,178,1424,#d9d192
ParietoFrontal,F2O2,Middle Orbito-Frontal Gyrus (2),Homotopic,Left,39,-41.05,48.99,-5.31,505,4040,#f37c8f
ParietoFrontal,F2O2,Middle Orbito-Frontal Gyrus (2),Atlas,Right,40,39.72,50.22,-4.43,370,2960,#f37c8f
ParietoFrontal,ips2,intraparietal sulcus (2),Homotopic,Left,111,-34.12,-58.3,46.21,832,6656,#8bd2dc
ParietoFrontal,ips2,intraparietal sulcus (2),Atlas,Right,112,37.42,-52.4,48.36,719,5752,#8bd2dc
ParietoFrontal,orb1,orbital sulcus (1),Homotopic,Left,45,-24.97,38.57,-14.99,278,2224,#8e4c90
ParietoFrontal,orb1,orbital sulcus (1),Atlas,Right,46,25.82,41.49,-14.91,370,2960,#8e4c90
ParietoFrontal,P2,Inferior Parietal Gyrus,Homotopic,Left,107,-44.91,-52.61,49.77,211,1688,#5a687e
ParietoFrontal,P2,Inferior Parietal Gyrus,Atlas,Right,108,42.73,-53.13,47.59,410,3280,#5a687e
ParietoFrontal,prec1,precentral sulcus (1),Homotopic,Left,51,-49.74,6.14,25.67,250,2000,#83c60b
ParietoFrontal,prec1,precentral sulcus (1),Atlas,Right,52,50.21,9.65,24.23,337,2696,#83c60b
ParietoFrontal,prec4,precentral sulcus (4),Homotopic,Left,57,-42.18,0.72,49.91,766,6128,#cb1b85
ParietoFrontal,prec4,precentral sulcus (4),Atlas,Right,58,43.66,1,48.36,540,4320,#cb1b85
ParietoFrontal,SMA1,Supplementary Motor Area (1),Homotopic,Left,221,-6.27,22.25,46.72,161,1288,#7bf59c
ParietoFrontal,SMA1,Supplementary Motor Area (1),Atlas,Right,222,5.86,20.55,49,172,1376,#7bf59c
ParietoFrontal,SMG6,SupraMarginal Gyrus (6),Homotopic,Left,97,-53.63,-42.1,46.05,120,960,#8d5487
ParietoFrontal,SMG6,SupraMarginal Gyrus (6),Atlas,Right,98,53.77,-38.15,43.95,133,1064,#8d5487
PosteriorMedial,CINGp1,Posterior Cingulum Gyrus (1),Homotopic,Left,251,-4.2,-26.02,28.82,166,1328,#e82a84
PosteriorMedial,CINGp1,Posterior Cingulum Gyrus (1),Atlas,Right,252,4.73,-25.9,28.96,195,1560,#e82a84
PosteriorMedial,FUS4,Fusiform Gyrus (4),Homotopic,Left,337,-43.13,-49.79,-17.41,458,3664,#b48d92
PosteriorMedial,FUS4,Fusiform Gyrus (4),Atlas,Right,338,44.13,-46.04,-17.75,375,3000,#b48d92
PosteriorMedial,FUS5,Fusiform Gyrus (5),Homotopic,Left,339,-31.48,-50.4,-12.44,96,768,#8b7056
PosteriorMedial,FUS5,Fusiform Gyrus (5),Atlas,Right,340,32.39,-46.73,-11.32,150,1200,#8b7056
PosteriorMedial,HIPP2,Hippocampus (2),Homotopic,Left,319,-24.94,-32.46,-2.69,437,3496,#f5277c
PosteriorMedial,HIPP2,Hippocampus (2),Atlas,Right,320,25.01,-31.37,-1.99,485,3880,#f5277c
PosteriorMedial,ios,intraoccipital sulcus,Homotopic,Left,115,-23.92,-71.72,32.44,50,400,#53d40c
PosteriorMedial,ios,intraoccipital sulcus,Atlas,Right,116,27.83,-69.38,33.29,48,384,#53d40c
PosteriorMedial,ips3,intraparietal sulcus (3),Homotopic,Left,113,-26.94,-59.8,44.38,761,6088,#356ff4
