hROI-Side,hROI,Hemisphere,Abbreviation,AICHA_number,Rest_Network,xmm,ymm,zmm,vol_mm3,5_Network
G_Insula-posterior-1-L,G_Insula-posterior-1,L,INSp1,155,Moteur,-42.1,-19.1,13.7,7384,5
G_Paracentral_Lobule-1-L,G_Paracentral_Lobule-1,L,pCENT1,257,Moteur,-6.9,-16.8,50.9,1896,5
G_Paracentral_Lobule-2-L,G_Paracentral_Lobule-2,L,pCENT2,259,Moteur,-10.2,-28.6,65.8,3968,5
G_Parietal_Sup-1-L,G_Parietal_Sup-1,L,P1_1,77,Moteur,-23.6,-47.3,60.1,520,5
G_Parietal_Sup-2-L,G_Parietal_Sup-2,L,P1_2,79,Moteur,-18.6,-46.9,67.5,1672,5
G_Parietal_Sup-3-L,G_Parietal_Sup-3,L,P1_3,81,Moteur,-29.6,-51.2,66.6,2096,5
G_Parietal_Sup-5-L,G_Parietal_Sup-5,L,P1_5,85,Moteur,-16.0,-61.3,61.5,3576,5
G_Rolandic_Oper-2-L,G_Rolandic_Oper-2,L,ROLop2,159,Moteur,-50.6,-9.0,13.9,4400,5
G_Supramarginal-1-L,G_Supramarginal-1,L,SMG1,87,Moteur,-54.5,-29.5,21.4,2232,5
G_Temporal_Sup-1-L,G_Temporal_Sup-1,L,T1_1,161,Moteur,-55.5,-1.1,2.3,840,5
G_Temporal_Sup-2-L,G_Temporal_Sup-2,L,T1_2,163,Moteur,-45.3,-10.9,-1.6,2464,5
G_Temporal_Sup-3-L,G_Temporal_Sup-3,L,T1_3,165,Moteur,-52.0,-27.1,10.9,7632,5
G_Temporal_Sup-4-L,G_Temporal_Sup-4,L,T1_4,167,Temporo-Frontal,-58.7,-23.3,3.7,6656,2
N_Pallidum-1-L,N_Pallidum-1,L,PALL,361,Temporo-Frontal,-18.6,-8.2,-0.5,1056,2
N_Putamen-3-L,N_Putamen-3,L,PUT3,365,Temporo-Frontal,-28.0,-6.3,1.8,5632,2
N_Thalamus-1-L,N_Thalamus-1,L,THA1,367,Temporo-Frontal,-4.3,0.3,1.4,648,2
S_Cingulate-4-L,S_Cingulate-4,L,cing4,233,Moteur,-7.8,-6.3,57.4,4608,5
S_Cingulate-5-L,S_Cingulate-5,L,cing5,235,Moteur,-8.5,-16.4,41.6,2144,5
S_Cingulate-7-L,S_Cingulate-7,L,cing7,239,Moteur,-9.3,-41.5,60.4,2168,5
S_Postcentral-1-L,S_Postcentral-1,L,post1,71,Moteur,-57.5,-17.8,31.8,1552,5
S_Postcentral-2-L,S_Postcentral-2,L,post2,73,Moteur,-40.8,-33.5,54.7,4464,5
S_Postcentral-3-L,S_Postcentral-3,L,post3,75,Moteur,-43.0,-32.8,44.1,4696,5
S_Precentral-2-L,S_Precentral-2,L,prec2,53,Moteur,-25.2,-8.5,58.9,2688,5
S_Precentral-3-L,S_Precentral-3,L,prec3,55,Moteur,-18.2,-8.7,69.3,592,5
S_Precentral-6-L,S_Precentral-6,L,prec6,61,Moteur,-29.8,-11.2,64.7,1208,5
S_Rolando-1-L,S_Rolando-1,L,rol1,63,Moteur,-54.3,-8.4,32.0,9336,5
S_Rolando-2-L,S_Rolando-2,L,rol2,65,Moteur,-43.6,-13.7,50.6,3328,5
S_Rolando-3-L,S_Rolando-3,L,rol3,67,Moteur,-38.8,-23.1,61.4,9088,5
S_Rolando-4-L,S_Rolando-4,L,rol4,69,Moteur,-23.1,-28.9,65.3,8880,5
