Participant,Abbreviation,L,R,Asym
t0009,AG1,0.0972,-1.2609,1.3581
t0009,AG2,-0.9922,-1.8293,0.8371
t0009,AG3,-2.3427,-1.0907,-1.252
t0009,CAL1,8.6555,8.7522,-0.0967
t0009,CAL2,8.5003,11.3036,-2.8033
t0009,CAL3,2.9781,7.8338,-4.8557
t0009,CINGa1,-0.719,-0.6077,-0.1113
t0009,CINGa2,1.1642,0.379,0.7852
t0009,CINGm1,1.5571,1.9306,-0.3735
t0009,CINGm2,4.2154,5.1022,-0.8868
t0009,CINGm3,-0.5679,0.1941,-0.762
t0009,CINGp1,1.4672,2.5954,-1.1282
t0009,CINGp2,1.2718,0.7834,0.4884
t0009,CINGp3,3.2159,0.7771,2.4388
t0009,CU1,6.1881,5.1759,1.0122
t0009,CU2,3.4769,3.7479,-0.271
t0009,F3O1,-1.8075,-1.753,-0.0545
t0009,F3t,0.1725,1.8114,-1.6389
t0009,F2MO2,0.6907,1.1029,-0.4122
t0009,F2O1,-0.6048,-0.1036,-0.5012
t0009,F2O2,0.9337,-1.4554,2.3891
t0009,F2_1,-0.1115,-1.4583,1.3468
t0009,F2_2,0.838,0.7278,0.1102
t0009,F2_3,1.8868,1.5555,0.3313
t0009,F2_4,-0.6546,0.1527,-0.8073
t0009,F2_5,0.1893,0.9312,-0.7419
t0009,F1M1,-1.4357,-1.8143,0.3786
t0009,F1M2,-1.2409,-0.6975,-0.5434
t0009,F1M3,0.9491,0.8388,0.1103
t0009,F1_1,2.6554,2.162,0.4934
t0009,F1_2,0.0532,-0.1395,0.1927
t0009,F1_3,0.1643,0.1962,-0.0319
t0009,FUS1,-0.133,-0.9975,0.8645
t0009,FUS2,0.1227,1.0456,-0.9229
t0009,FUS3,0.7793,1.8335,-1.0542
t0009,FUS4,2.4483,2.6464,-0.1981
t0009,FUS5,4.1138,3.2481,0.8657
t0009,FUS6,3.8538,4.564,-0.7102
t0009,FUS7,3.8987,3.4454,0.4533
t0009,HIPP1,-2.2071,-1.0612,-1.1459
t0009,HIPP2,-0.0177,1.0951,-1.1128
t0009,INSa1,-0.5223,0.6359,-1.1582
t0009,INSa2,1.204,2.9891,-1.7851
t0009,INSa3,3.1006,5.6811,-2.5805
t0009,INSa4,2.7476,4.0072,-1.2596
t0009,INSa5,2.0734,0.6537,1.4197
t0009,INSp1,2.4598,1.1661,1.2937
t0009,LING1,4.3476,6.9133,-2.5657
t0009,LING2,2.8317,4.4069,-1.5752
t0009,LING3,4.3104,4.9328,-0.6224
t0009,LING4,4.267,2.5633,1.7037
t0009,LING5,2.5537,2.8747,-0.321
t0009,LING6,4.2908,6.2286,-1.9378
t0009,O3_1,2.5197,5.7964,-3.2767
t0009,O3_2,2.6972,6.5776,-3.8804
t0009,Olat1,1.4528,1.6054,-0.1526
t0009,Olat2,2.6006,3.4605,-0.8599
t0009,Olat3,0.8787,5.2029,-4.3242
t0009,Olat4,4.3633,4.0689,0.2944
t0009,Olat5,4.9739,5.3122,-0.3383
t0009,O2_1,1.7046,1.4269,0.2777
t0009,O2_2,3.9429,3.0651,0.8778
t0009,O2_3,0.2847,2.1419,-1.8572
t0009,O2_4,-1.3087,-1.037,-0.2717
t0009,Opole,-0.4368,0.5228,-0.9596
t0009,O1_1,1.2454,0.8433,0.4021
t0009,O1_2,2.301,2.4581,-0.1571
t0009,pCENT1,2.5523,0.8141,1.7382
t0009,pCENT2,0.0001,0.1212,-0.1211
t0009,pCENT3,-1.5971,-1.5754,-0.0217
t0009,pCENT4,-3.3132,-3.8933,0.5801
t0009,pHIPP1,0.0197,1.4622,-1.4425
t0009,pHIPP2,-1.0959,-0.4251,-0.6708
t0009,pHIPP3,0.5488,-2.5188,3.0676
t0009,pHIPP4,0.4092,3.7612,-3.352
t0009,pHIPP5,0.1384,0.8825,-0.7441
t0009,P2,1.904,2.7405,-0.8365
t0009,P1_1,1.1082,1.0369,0.0713
t0009,P1_2,0.0438,0.1678,-0.124
t0009,P1_3,-0.1522,2.3761,-2.5283
t0009,P1_4,2.6952,2.4454,0.2498
t0009,P1_5,1.4857,-0.0052,1.4909
t0009,PRECU1,1.4376,1.2754,0.1622
t0009,PRECU2,-0.4242,-0.303,-0.1212
t0009,PRECU3,0.7717,0.371,0.4007
t0009,PRECU4,0.3625,-0.414,0.7765
t0009,PRECU5,1.1766,0.9159,0.2607
t0009,PRECU6,1.4712,0.0689,1.4023
t0009,PRECU7,1.4069,2.5442,-1.1373
t0009,PRECU8,3.1555,2.2826,0.8729
t0009,PRECU9,3.5213,1.0965,2.4248
t0009,ROLop1,2.5212,2.7236,-0.2024
t0009,ROLop2,1.427,1.3658,0.0612
t0009,SCALL,0.1454,-0.4136,0.559
t0009,SMA1,2.5715,4.1501,-1.5786
t0009,SMA2,0.7265,0.5449,0.1816
t0009,SMA3,2.15,3.4529,-1.3029
t0009,SMG1,1.1905,1.3141,-0.1236
t0009,SMG3,3.6488,4.6383,-0.9895
t0009,SMG4,0.9588,-0.4683,1.4271
t0009,SMG2,-0.6699,0.5161,-1.186
t0009,SMG5,2.7683,-0.8431,3.6114
t0009,SMG6,1.9562,1.5883,0.3679
t0009,SMG7,0.5358,0.1044,0.4314
t0009,T3_3,-1.1394,1.7002,-2.8396
t0009,T3_4,1.8163,4.3476,-2.5313
t0009,T3_5,2.6416,5.274,-2.6324
t0009,T2_1,-2.9711,-1.3507,-1.6204
t0009,T2_2,-1.5677,-0.7883,-0.7794
t0009,T2_3,-2.8603,-1.5308,-1.3295
t0009,T2_4,1.8157,1.8129,0.0028
t0009,poleT2_1,-0.7283,-0.3899,-0.3384
t0009,poleT2_2,-1.0846,-1.0062,-0.0784
t0009,poleT2_3,-1.37,0.0007,-1.3707
t0009,poleT1_1,-2.6592,-0.415,-2.2442
t0009,poleT1_2,0.1886,-0.7121,0.9007
t0009,T1_1,1.4604,4.5011,-3.0407
