"","Visu_SomatoMotor","Visu_PosteriorMedial","Visu_TemporoFrontal","Visu_ParietoFrontal","SomatoMotor_PosteriorMedial","SomatoMotor_TemporoFrontal","SomatoMotor_ParietoFrontal","PosteriorMedial_TemporoFrontal","PosteriorMedial_ParietoFrontal","TemporoFrontal_ParietoFrontal"
"t0009",0.468494823277206,-0.101454976976355,0.0737257220210984,-0.260213199405334,0.137614045664416,0.300891045040514,0.161324475265718,0.123584780333549,0.324430343421791,0.357022206017394
"t0031",0.131201803782011,0.382189036147909,0.184013761733685,0.35593902045993,0.0751921690736181,0.451916624990333,0.154300772768078,0.194314009020073,0.339476555538335,0.611289850324858
"t0126",-0.0107514684036927,-0.104964775818409,-0.0995233755913553,-0.37814012629056,0.0171615961144289,0.119923042968265,-0.109856319710353,-0.258756566610718,-0.331925255260012,0.455666687179998
"t0175",0.276397471544039,0.494321867721625,-0.419596816716456,-0.204924179634241,0.191538187166656,-0.0861526227773577,-0.318009430171721,-0.429406260616699,-0.0889853317776713,0.263180173548519
"t0253",0.553928803820988,0.267368312393587,0.149313294268913,-0.0416645405979461,0.0493458346866246,0.129196926825551,-0.115578695855811,-0.209121828751253,-0.196046902376413,0.495813371089597
"t0268",0.491502810058513,0.0382166479242694,0.490596505314675,-0.211478993461712,0.0808787957443822,0.334548000682097,-0.368191292176059,-0.0255293289417731,-0.0328047410761409,0.104996262161006
"t0269",0.446072388576617,0.207611389183399,0.137514259713502,0.103628125627578,0.205736420877398,0.276087955135424,-0.110130559296642,0.0161985377595462,-0.0906254621871368,0.286787286208407
"t0335",0.139548486324272,0.220726666560359,-0.429032655321978,-0.18068381859706,-0.123061218689603,0.149326401754552,-0.376998480401398,-0.520360550288807,0.220908894292634,0.0797608915376772
"t0336",0.449544206982588,-0.122689603076413,0.298702649298812,-0.185942944913199,0.225019735944104,0.133293625324522,-0.18873832360106,-0.145861137699163,0.0676993223113148,0.13700499483249
"t0339",0.565994946383784,0.43318460969303,-0.0371371717073616,-0.211343608470163,0.217868484596992,0.36319795385497,-0.0422582146225116,0.0120346793190128,-0.177658592337824,0.154449013911134
"t0340",0.56783899778029,0.0145451803996523,-0.0552179754303872,-0.380504606041015,-0.108881810170459,-0.00433469867811508,-0.0673009128930493,-0.332916664128289,-0.131054589367728,-0.0530068902927763
"t0341",0.581461829975888,-0.213059036436188,0.625049341681604,-0.197642156853922,0.0643009275238333,0.296746477785085,-0.0487118944496307,-0.441480852820266,-0.0728565858959695,-0.0344640753728109
"t0342",0.336934691543367,0.0319790522507133,0.233648787598973,-0.236015753147652,0.275478299267873,0.250673979813835,-0.0397929837961246,-0.116996721635542,-0.0286995294402486,0.467145718470914
"t0343",0.68462371463899,0.021241598917428,0.426110851415851,-0.24048533193797,0.0552299203061773,0.379453288431513,-0.449010744318669,-0.0213321032809084,0.17373522007987,-0.152012119146523
"t0345",0.143047007857577,0.0754164540226154,0.371727565589528,-0.0709593444066433,0.151746967728683,0.361173906627481,-0.0506945949580179,0.103214178455047,0.114154061681805,0.511208874135264
"t0346",0.174467985556366,0.301661781254045,-0.0944152974353652,-0.360674372070351,-0.342057159250143,0.227852151026275,-0.128387037828892,-0.238367284042901,-0.183688341924645,0.292782959490513
"t0349",0.603450127948757,0.224528928817619,0.187608359055896,-0.0835730315089363,0.121404903421239,0.498575829164063,-0.133029720809474,-0.194202130889218,0.112267448703833,-0.0515245337994466
"t0353",0.315669735675614,0.029466112306211,0.243051996723145,-0.119766426415689,-0.137275471754348,0.4225691605416,-0.0859652338270279,-0.0243706007746477,0.124679979333773,0.00498259387665688
