Hemisphere,Region_Number,Region,Network_7,Red,Green,Blue,Alpha
LH,1,FPole_1,Default,205,62,78,0
LH,2,FPole_2,Default,205,62,78,0
LH,3,IPL_1,Default,205,62,78,0
LH,4,IPL_2,Default,205,62,78,0
LH,5,IPL_3,Default,205,62,78,0
LH,6,IPL_4,Default,205,62,78,0
LH,7,IPL_5,Default,205,62,78,0
LH,8,IPL_6,Default,205,62,78,0
LH,9,PCC_1,Default,205,62,78,0
LH,10,PCC_2,Default,205,62,78,0
LH,11,PCC_3,Default,205,62,78,0
LH,12,PCC_4,Default,205,62,78,0
LH,13,PFCd_1,Default,205,62,78,0
LH,14,PFCd_10,Default,205,62,78,0
LH,15,PFCd_2,Default,205,62,78,0
LH,16,PFCd_3,Default,205,62,78,0
LH,17,PFCd_4,Default,205,62,78,0
LH,18,PFCd_5,Default,205,62,78,0
LH,19,PFCd_6,Default,205,62,78,0
LH,20,PFCd_7,Default,205,62,78,0
LH,21,PFCd_8,Default,205,62,78,0
LH,22,PFCd_9,Default,205,62,78,0
LH,23,PFCl_1,Default,205,62,78,0
LH,24,PFCl_2,Default,205,62,78,0
LH,25,PFCm_1,Default,205,62,78,0
LH,26,PFCm_2,Default,205,62,78,0
LH,27,PFCm_3,Default,205,62,78,0
LH,28,PFCm_4,Default,205,62,78,0
LH,29,PFCm_5,Default,205,62,78,0
LH,30,PFCv_1,Default,205,62,78,0
LH,31,PFCv_2,Default,205,62,78,0
LH,32,PFCv_3,Default,205,62,78,0
LH,33,PFCv_4,Default,205,62,78,0
LH,34,PFCv_5,Default,205,62,78,0
LH,35,RSC,Default,205,62,78,0
LH,36,ST,Default,205,62,78,0
LH,37,Temp_1,Default,205,62,78,0
LH,38,Temp_2,Default,205,62,78,0
LH,39,Temp_3,Default,205,62,78,0
LH,40,Temp_4,Default,205,62,78,0
LH,41,Temp_5,Default,205,62,78,0
LH,42,Temp_6,Default,205,62,78,0
LH,43,Temp_7,Default,205,62,78,0
LH,44,Temp_8,Default,205,62,78,0
LH,45,Temp_9,Default,205,62,78,0
LH,46,pCun_1,Default,205,62,78,0
LH,47,pCun_2,Default,205,62,78,0
LH,48,pCun_3,Default,205,62,78,0
LH,49,Cingm,Cont,230,148,34,0
LH,50,FPole_1,Cont,230,148,34,0
LH,51,FrMed,Cont,230,148,34,0
LH,52,IPL_1,Cont,230,148,34,0
LH,53,IPS_1,Cont,230,148,34,0
LH,54,IPS_2,Cont,230,148,34,0
LH,55,IPS_3,Cont,230,148,34,0
LH,56,Ins,Cont,230,148,34,0
LH,57,OFC,Cont,230,148,34,0
LH,58,PCC,Cont,230,148,34,0
LH,59,PFCd_1,Cont,230,148,34,0
LH,60,PFCl_1,Cont,230,148,34,0
LH,61,PFCl_2,Cont,230,148,34,0
LH,62,PFCl_3,Cont,230,148,34,0
LH,63,PFCl_4,Cont,230,148,34,0
LH,64,PFCl_5,Cont,230,148,34,0
LH,65,PFCl_6,Cont,230,148,34,0
LH,66,PFCl_7,Cont,230,148,34,0
LH,67,PFCl_8,Cont,230,148,34,0
LH,68,PFCl_9,Cont,230,148,34,0
LH,69,PFCv_1,Cont,230,148,34,0
LH,70,pCun_1,Cont,230,148,34,0
LH,71,pCun_2,Cont,230,148,34,0
LH,72,FPole,Limbic,220,248,164,0
LH,73,Ins,Limbic,220,248,164,0
LH,74,OFC_1,Limbic,220,248,164,0
LH,75,OFC_2,Limbic,220,248,164,0
LH,76,OFC_3,Limbic,220,248,164,0
LH,77,OFC_4,Limbic,220,248,164,0
LH,78,OFC_5,Limbic,220,248,164,0
LH,79,PFCm,Limbic,220,248,164,0
LH,80,PHC,Limbic,220,248,164,0
LH,81,TempPole_1,Limbic,220,248,164,0
LH,82,TempPole_2,Limbic,220,248,164,0
LH,83,TempPole_3,Limbic,220,248,164,0
LH,84,Temp_1,Limbic,220,248,164,0
